NielsenCompany,NielsenBrand,RTRICompany,RTRIBrand
ABBOTT/SIMILAC,PEDIASURE,Abbott Lab,Pediasure
ABBOTT/SIMILAC,SIMILAC,Abbott Lab,Similac
ARTETA SP.Z O.O.,AGUGU,Arteta,Agugu
ASSOTSIATSIYA DETS.PITAN.OOO,KARAPUZ,ADP,Karapuz
ASSOTSIATSIYA DETS.PITAN.OOO,MALYSH,ADP,Malysh
BELLAKT VOLKOVYSSKOE OAO/BELARUS,BELLAKT,Bellakt,Bellakt
BELLAKT VOLKOVYSSKOE OAO/BELARUS,BELLAKT,Bellakt,Bellakt
BIO FAMILIA AG,FAMILIA,Bio-Familia,Familia
CHARIVNA SKARBNYTSYA TZOV GIRNYK.K.Z-D,RUMYANI SCHICHKY,Charivna Skarbnytsya,Rum'yani Shchichky
DAIRY GOAT CO-OPERATIVE/DLY VITACARE LTD,NENNI,Bibicall,Nenni
DANONE GROUP,ALPRO,Danone,Alpro
DANONE GROUP,BOBOVITA,Danone,Bobovita
DANONE GROUP,MALYSH ISTRYNSKYI,Nutricia,Malysh Istr
DANONE GROUP,MALYUTKA NUTRICIA,Nutricia,Malyutka
DANONE GROUP,MILUPA,Nutricia,Milupa
DANONE GROUP,NUTRICIA,Nutricia,Nutricia
DANONE GROUP,NUTRILON,Nutricia,Nutrilon
DANONE GROUP,PROSTOKVASHYNO,Danone,Prostokvashino
DANONE GROUP,TIP-TOP/TIP TOP,Danone,Tip-Top
DANONE GROUP,TYOMA,Danone,Tema
DMK GMBH,HUMANA,Dmk Humana,Humana
DMK GMBH,LASANA,Dmk Humana,Lasana
DROGA KOLINSKA A.O. SLOVENIYA,BEBI,Droga Kolinska,Bebi
EKONIYA TOV,MALYATKO,Ekoniya,Malyatko
EKSTREYD-M OOO ROSSIYA,RASTI BOLSHOY,Ekstreyd,Rasti Bol'shoi
FA ECOLINE LLP ENGLAND,FLEUR ALPINE,Fleur Alpine Uab,Fleur Alpine
FLORY D.O.O,BABY KING,Flory,Baby King
FORMIGA OOO,PIPA,Formiga,Pipa
FRIESLANDCAMPINA,FRISO,Friesland Campina,Friso
FRIESLANDCAMPINA,FRISOLAC,Friesland Campina,Friso
GLABS LTD.VKT KHARKOV,KROHA,Glabs,Krokha
HAME AO,FRUTA PYURESHKA,Hame,Fruta Pyureshka
HAME AO,HAMANEK,Hame,Hamanek
HAME AO,HAME,Hame,Hame
HERO NUTRITION GROUP,SEMPER,Hero Ag,Semper
HIPP GMBH & CO,BEBIVITA,Hipp,Bebivita
HIPP GMBH & CO,HIPP,Hipp,Hipp
HOLLE BABY FOOD GMBH,HOLLE,Holle Baby Food,Holle
HYPROCA NUTRITION BV,KABRITA,Hyproca Nutrition,Kabrita
ILAS S.A. SPAIN,MAMAKO,Ilas,Mamako
IVANOVSKIY KOMBINAT DETSKOGO PITANIYA,SAMI S USAMI,Ivanovskii Kombinat Detskogo Pitaniya,Sami S Usami
IVANOVSKIY KOMBINAT DETSKOGO PITANIYA,UMNITSA,Ivanovskii Kombinat Detskogo Pitaniya,Umnitsa
KANIU UAB,MARMALUZI,Kaniu,Marmaluzi
KDV GRUP ROSSIYA,BEGEMOTIK BONDI,Kdv Minusinsk,Begemotik Bondi
KHOROLSKIY MOL.KONSERV.KOMBIN. DYT.PRODU,MALYSH,Khorolskii Mk,Malysh Kh
KHOROLSKIY MOL.KONSERV.KOMBIN. DYT.PRODU,MALYSHKA,Khorolskii Mk,Malyshka
KHOROLSKIY MOL.KONSERV.KOMBIN. DYT.PRODU,MALYUTKA KHOROL,Khorolskii Mk,Malyutka Kh
LAGODA KONDIT. FABRIKA KAGARLYK UKRAINE,LADUSHKI,Lagoda,Ladushki
LASUNYA/ATTIS-T,DETOLAKT,Attis-T,Lasunya
LAT EKO FOOD OOO,RUDOLFS,Lat Eco Food,Rudolfs
LOOSTDORF,NA ZDOROVYE,Lustdorf,Na Zdorov'e
LOOSTDORF,SELYANSKE,Lustdorf,Selyans'ke
LOOSTDORF,TOTOSHA,Lustdorf,Totosha
MALORITSKIY KONS.OVOSCHESUSH.KOMBIN.OAO,KROHA,Maloritskii Kosk,Krokha Mal
MALORITSKIY KONS.OVOSCHESUSH.KOMBIN.OAO,TOPTYSHKA,Maloritskii Kosk,Toptyshka
MARKET SOLUTIONS GROUP LLC,LANDI,Market Solutions Group,Landi
MINUSINSKIY PISCHEVOY KOMBINAT OAO,CHIPA-EKSTRAMALYSHOK,Kdv Minusinsk,Chipa Ekstramalyshok
MOLOCHNY ALYANS,YAGOTYNSKE DLYA  DITEY,Molochnyi Al'yans,Yagotynske Dlyaditei
NESTLE,ALFARE,Nestle,Alfare
NESTLE,GERBER,Nestle,Gerber
NESTLE,MODULEN,Nestle,Modulen
NESTLE,NAN,Nestle,Nan
NESTLE,NESTLE,Nestle,Nestle
NESTLE,NESTOGEN,Nestle,Nestogen
NESTLE,PEPTAMEN,Nestle,Pertamen
NESTLE,RESOURCE,Nestle,Resource
NOKI INFANT PRODUCT LTD IZRAIL,REMEDIA,Ekstreyd,Remedia
NOVOFRUCT SK S.R.O,OVKO,Novofruct,Ovko
NUTRITEK ZAO KOMPANIYA,NUTRILAK,Infaprim,Nutrilak
NUTRITEK ZAO KOMPANIYA,VINNI,Khorolskii Mk,Vinni
OASIS HOLDING,BAMBOLINA,Oazis Group,Bambolina
OAZIS DISTRIBYUSHN SOOO/BELFOOD,ALYENKA LYUBIT,Oasis Distribution,Alyonka Lubit
OAZIS DISTRIBYUSHN SOOO/BELFOOD,MALENKOE SCHASTE,Oasis Distribution,Malen'koe Schast'e
ORSHANSKIY MYAS.KONS.K-T BELARUS,BABY HIT,Omkk,Baby Hit
ORSHANSKIY MYAS.KONS.K-T BELARUS,KROHA,Omkk,Krokha Ors
ORSHANSKIY MYAS.KONS.K-T BELARUS,LOZHKA V LADOSHKE,Omkk,Lozhka V Ladochke
ORSHANSKIY MYAS.KONS.K-T BELARUS,OMKK,Omkk,Omkk
OTHER MANUFACTURERS PRIVATE LABEL,OTHER BRAND PRIVATE LABEL,Private label,Private label
PEPSICO,AGUSHA,Wimm-Bill-Dann,Agusha
PODRAVKA CROATIA,LINO,Podravka,Lino
PRIDNEPROVSKIY AT KOMB/TM ZLAGODA,ZLAGODA,Kombinat Pridneprovskii,Zlagoda
PROGRESS VAT LIPETSK,FRUTO-NYANYA,Progress,Fruto Nyanya
PROGRESS VAT LIPETSK,MALYSHAM,Progress,Malysham
REDHEAD FAMILY CORPOR/GOLDIM S.R.O CZECH,BONAVI,Red Head,Bonavi
REDHEAD FAMILY CORPOR/GOLDIM S.R.O CZECH,SMARTY FAMILY,Red Head,Smarty Family
SADY PRIDONYA NPG,SADY PRIDONYA,Sady Pridon'ya,Sady Pridon'ya
SADY PRIDONYA NPG,SPELENOK,Sady Pridon'ya,Spelenok
SALVEST AO,SALVEST,Salvest,Salvest
SARAY A.S. TURKEY,ELDENELE,Saray,Eldenele
SLAVFUD OOO,ABIBOK,Slavfood,Abibok
SLAVYANKA GRUPPA KOMPANIY,MALYSHOK!,Orkla,Malyshok
TELEDISK - HOLDING OOO,AGU AGU,Teledisk Holding,Agu Agu
THE KRAFT HEINZ COMPANY,HEINZ,Heinz,Heinz
VAYZ PROD.KOMPANIYA TOV. DNEPROPETROVSK,NYAM-NYAM,Vaiz,Nyam-Nyam
VITMARK-UKRAINA SP TOV,CHUDO-CHADO,Vitmark,Chudo-Chado
